Treasure{number=1, description='Treasure 1', cost=503}
Treasure{number=2, description='Treasure 2', cost=51}
Treasure{number=3, description='Treasure 3', cost=855}
Treasure{number=4, description='Treasure 4', cost=126}
Treasure{number=5, description='Treasure 5', cost=320}
Treasure{number=6, description='Treasure 6', cost=201}
Treasure{number=7, description='Treasure 7', cost=179}
Treasure{number=8, description='Treasure 8', cost=242}
Treasure{number=9, description='Treasure 9', cost=545}
Treasure{number=10, description='Treasure 10', cost=301}
Treasure{number=11, description='Treasure 11', cost=131}
Treasure{number=12, description='Treasure 12', cost=199}
Treasure{number=13, description='Treasure 13', cost=676}
Treasure{number=14, description='Treasure 14', cost=208}
Treasure{number=15, description='Treasure 15', cost=857}
Treasure{number=16, description='Treasure 16', cost=850}
Treasure{number=17, description='Treasure 17', cost=386}
Treasure{number=18, description='Treasure 18', cost=872}
Treasure{number=19, description='Treasure 19', cost=796}
Treasure{number=20, description='Treasure 20', cost=631}
Treasure{number=21, description='Treasure 21', cost=40}
Treasure{number=22, description='Treasure 22', cost=996}
Treasure{number=23, description='Treasure 23', cost=153}
Treasure{number=24, description='Treasure 24', cost=30}
Treasure{number=25, description='Treasure 25', cost=145}
Treasure{number=26, description='Treasure 26', cost=385}
Treasure{number=27, description='Treasure 27', cost=295}
Treasure{number=28, description='Treasure 28', cost=36}
Treasure{number=29, description='Treasure 29', cost=821}
Treasure{number=30, description='Treasure 30', cost=410}
Treasure{number=31, description='Treasure 31', cost=534}
Treasure{number=32, description='Treasure 32', cost=809}
Treasure{number=33, description='Treasure 33', cost=508}
Treasure{number=34, description='Treasure 34', cost=415}
Treasure{number=35, description='Treasure 35', cost=845}
Treasure{number=36, description='Treasure 36', cost=832}
Treasure{number=37, description='Treasure 37', cost=566}
Treasure{number=38, description='Treasure 38', cost=770}
Treasure{number=39, description='Treasure 39', cost=77}
Treasure{number=40, description='Treasure 40', cost=838}
Treasure{number=41, description='Treasure 41', cost=104}
Treasure{number=42, description='Treasure 42', cost=698}
Treasure{number=43, description='Treasure 43', cost=876}
Treasure{number=44, description='Treasure 44', cost=877}
Treasure{number=45, description='Treasure 45', cost=383}
Treasure{number=46, description='Treasure 46', cost=997}
Treasure{number=47, description='Treasure 47', cost=88}
Treasure{number=48, description='Treasure 48', cost=999}
Treasure{number=49, description='Treasure 49', cost=392}
Treasure{number=50, description='Treasure 50', cost=238}
Treasure{number=51, description='Treasure 51', cost=649}
Treasure{number=52, description='Treasure 52', cost=145}
Treasure{number=53, description='Treasure 53', cost=739}
Treasure{number=54, description='Treasure 54', cost=61}
Treasure{number=55, description='Treasure 55', cost=65}
Treasure{number=56, description='Treasure 56', cost=27}
Treasure{number=57, description='Treasure 57', cost=849}
Treasure{number=58, description='Treasure 58', cost=750}
Treasure{number=59, description='Treasure 59', cost=416}
Treasure{number=60, description='Treasure 60', cost=950}
Treasure{number=61, description='Treasure 61', cost=543}
Treasure{number=62, description='Treasure 62', cost=335}
Treasure{number=63, description='Treasure 63', cost=444}
Treasure{number=64, description='Treasure 64', cost=777}
Treasure{number=65, description='Treasure 65', cost=488}
Treasure{number=66, description='Treasure 66', cost=123}
Treasure{number=67, description='Treasure 67', cost=697}
Treasure{number=68, description='Treasure 68', cost=475}
Treasure{number=69, description='Treasure 69', cost=669}
Treasure{number=70, description='Treasure 70', cost=660}
Treasure{number=71, description='Treasure 71', cost=880}
Treasure{number=72, description='Treasure 72', cost=5}
Treasure{number=73, description='Treasure 73', cost=990}
Treasure{number=74, description='Treasure 74', cost=858}
Treasure{number=75, description='Treasure 75', cost=549}
Treasure{number=76, description='Treasure 76', cost=593}
Treasure{number=77, description='Treasure 77', cost=340}
Treasure{number=78, description='Treasure 78', cost=194}
Treasure{number=79, description='Treasure 79', cost=19}
Treasure{number=80, description='Treasure 80', cost=810}
Treasure{number=81, description='Treasure 81', cost=997}
Treasure{number=82, description='Treasure 82', cost=657}
Treasure{number=83, description='Treasure 83', cost=899}
Treasure{number=84, description='Treasure 84', cost=260}
Treasure{number=85, description='Treasure 85', cost=15}
Treasure{number=86, description='Treasure 86', cost=363}
Treasure{number=87, description='Treasure 87', cost=984}
Treasure{number=88, description='Treasure 88', cost=88}
Treasure{number=89, description='Treasure 89', cost=334}
Treasure{number=90, description='Treasure 90', cost=617}
Treasure{number=91, description='Treasure 91', cost=305}
Treasure{number=92, description='Treasure 92', cost=961}
Treasure{number=93, description='Treasure 93', cost=710}
Treasure{number=94, description='Treasure 94', cost=465}
Treasure{number=95, description='Treasure 95', cost=58}
Treasure{number=96, description='Treasure 96', cost=667}
Treasure{number=97, description='Treasure 97', cost=206}
Treasure{number=98, description='Treasure 98', cost=717}
Treasure{number=99, description='Treasure 99', cost=736}
Treasure{number=100, description='Treasure 100', cost=976}
